date,open,high,low,close,volume,symbol,daily_return,cumulative_return,equity_curve,daily_return_pct,cumulative_return_pct
2025-10-16,9650,9825,9475,9800,26735900,BREN,0.02617801047120416,0.03430079155672727,1034301,2.62,3.43
2025-10-17,9800,9800,9100,9300,48110600,BREN,-0.05102040816326525,-0.018469656992085248,981530,-5.1,-1.85
2025-10-20,9350,9425,9125,9275,20358300,BREN,-0.0026881720430107503,-0.02110817941952592,978892,-0.27,-2.11
2025-10-21,9250,9350,9200,9250,10678300,BREN,-0.0026954177897574594,-0.02374670184696659,976253,-0.27,-2.37
2025-10-22,9250,9275,9075,9100,15204100,BREN,-0.01621621621621616,-0.03957783641161028,960422,-1.62,-3.96
2025-10-23,9125,9175,8850,9025,21356000,BREN,-0.008241758241758212,-0.04749340369393218,952507,-0.82,-4.75
2025-10-24,9000,9300,8950,9175,18440900,BREN,0.016620498614958512,-0.03166226912928838,968338,1.66,-3.17
2025-10-27,9050,9075,7800,8900,156992400,BREN,-0.02997275204359673,-0.06068601583113531,939314,-3.0,-6.07
2025-10-28,8900,8975,8400,8900,39432500,BREN,0.0,-0.06068601583113531,939314,0.0,-6.07
2025-10-29,8975,9000,8675,8750,20629000,BREN,-0.016853932584269704,-0.07651715039577911,923483,-1.69,-7.65
2025-10-30,8750,8900,8525,8625,14234100,BREN,-0.014285714285714235,-0.08970976253298224,910290,-1.43,-8.97
2025-10-31,8700,8850,8650,8675,11425900,BREN,0.005797101449275255,-0.08443271767810112,915567,0.58,-8.44
2025-11-03,8800,9400,8775,9275,48431600,BREN,0.0691642651296831,-0.02110817941952592,978892,6.92,-2.11
2025-11-04,9400,9750,9175,9225,55631300,BREN,-0.005390835579514808,-0.02638522427440715,973615,-0.54,-2.64
2025-11-05,9200,9750,9125,9750,53216800,BREN,0.05691056910569103,0.029023746701846154,1029024,5.69,2.9
2025-11-06,10000,10175,9500,9925,103014800,BREN,0.017948717948717885,0.047493403693930514,1047493,1.79,4.75
2025-11-07,9925,9975,9750,9975,32421800,BREN,0.005037783375314797,0.05277044854881163,1052770,0.5,5.28
2025-11-10,10000,10725,9975,10225,84614200,BREN,0.02506265664160412,0.07915567282321812,1079156,2.51,7.92
2025-11-11,10325,10350,9900,10025,39156400,BREN,-0.019559902200488977,0.058047493403693196,1058047,-1.96,5.8
2025-11-12,10050,10100,9875,9925,24978600,BREN,-0.009975062344139696,0.047493403693930514,1047493,-1.0,4.75
2025-11-13,9975,10025,9725,9900,39026800,BREN,-0.0025188916876573986,0.044854881266489954,1044855,-0.25,4.49
2025-11-14,9825,9900,9750,9750,18481200,BREN,-0.015151515151515138,0.029023746701846154,1029024,-1.52,2.9
2025-11-17,9800,9925,9675,9725,24739000,BREN,-0.002564102564102555,0.026385224274405594,1026385,-0.26,2.64
2025-11-18,9750,9800,9575,9625,22462800,BREN,-0.010282776349614386,0.015831134564643135,1015831,-1.03,1.58
